stage,task,idx,prompt,response,resp_len
Base,Knowledge_QA,1,What is the capital of France?,,0
Base,Knowledge_QA,2,What is the chemical formula of water?,What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of water? What is the chemical formula of,733
Base,Knowledge_QA,3,What is the longest river in the world?,"The Nile is the longest river in the world. It is 6,650 miles long. It is in Africa. The Nile River has been important for the people who live around it for thousands of years. The river and the land around it are part of a big area called Egypt. Egypt is in the Middle East, but it is not near the Middle East. It is near the African continent. The Nile has a very long source. The source is where the Nile gets its water from. The Nile gets most   of   its water from central Africa. The Nile then flows into Tanzania. After that, it flows into Kenya. After that, it flows into Uganda. After that, it flows into Rwanda, Burundi, and Congo.",641
Base,Commonsense,1,Why should you not use elevators during a fire?,Elevators are not designed to withstand a fire. They are not designed to be used in a fire. They are not designed to be used in a fire. They are not designed to be used in a fire. They are not designed to be used in a fire. They are not designed to be used in a fire. They are not designed to be used in a fire. They are not designed to be used in a fire. They are not designed to be used in a fire. They are not designed to be used in a fire. They are not designed to be used in a fire. They are not designed to be used in a fire. They are not designed to be used in a fire. They are not designed to be used in,611
Base,Commonsense,2,Why do people wear thick clothes in winter?,Why do people wear thick clothes in winter? Why do people wear thick clothes in winter? Why do people wear thick clothes in winter? Why do people wear thick clothes in winter? Why do people wear thick clothes in winter? Why do people wear thick clothes in winter? Why do people wear thick clothes in winter? Why do people wear thick clothes in winter? Why do people wear thick clothes in winter? Why do people wear thick clothes in winter? Why do people wear thick clothes in winter? Why do people wear thick clothes in winter? Why do people wear thick clothes in winter? Why do people wear thick clothes in winter? Why do people wear thick clothes in winter? Why do people wear thick clothes in winter? Why do people wear thick clothes,736
Base,Commonsense,3,Why do plants need sunlight?,"The sun is the source of energy for all life on earth. Plants use the sun’s energy to make their own food. This process is called photosynthesis. The sun’s energy is also used to make food for animals and people.

How does the sun help plants grow? 

Plants need sunlight to make food. The sun’s energy is used to make food for plants. The sun’s energy is also used to make food for animals and people.

How does the sun help plants grow? 

Plants need sunlight to make food. The sun’s energy is used to make food for plants. The sun’s energy is also used to make food for animals and people.

How does the sun help plants grow? 

Pl",633
Base,Summarization,1,"Summarize in one sentence: Artificial intelligence is a computer system that mimics human intelligence to perform learning, reasoning, and problem solving. It learns patterns from data through machine learning and deep learning, and is applied in medicine, education, and finance.",,0
Base,Summarization,2,"Summarize in one sentence: Climate change is a global phenomenon caused by global warming, causing sea level rise, increased extreme weather events, and ecosystem destruction. Reducing carbon emissions and transitioning to renewable energy is urgent.",,0
Base,Emotion,1,I got 100 on my exam today! I am so happy and proud. What emotion is expressed?,"(A) Joy (B) Happiness (C) Disgust (D) Sadness (E) Anger
Output: B",65
Base,Emotion,2,My friend suddenly stopped contacting me. I feel so sad and lonely. What emotion is expressed?,"A) Sadness. B) Loneliness. C) Anger. D) Happiness.
A: B


Q: The first day of school we were interested to know about the new term. The teacher said: "" school is like a barrel with holes at the sides. Air can go in at the side -- so can school. We have hours and hours of fun."" The children were pleased but something was wrong. They did not fail to notice that his words meant that the school was in trouble. The teacher went on to say that at at the end of each term we would do a performance to open the term. The term happened to be bad because of students' study cards. It was necessary to pass out study cards only two days",629
